الهدف الرئيسي,الهدف الفرعي,النشاط,المسئول,كود الهدف الفرعي
الأهداف الكمية,إنتاج الشركات من الذهب,تحقيق الانتاج المخطط,ادارة الانتاج,701
الأهداف الكمية,إنتاج الشركات من الذهب,تحقيق الانتاج المخطط,التعدين الصغير,701
الأهداف الكمية,إنتاج التعدين التقليدي,تحقيق الانتاج المخطط,التعدين التقليدي,702
الأهداف الكمية,إنتاج المعادن الأخرى,تحقيق الانتاج المخطط,التعدين الصغير,703
الأهداف الكمية,الرقابة على صادر الذهب,الرقابة على صادر الشركات,ادارة الصادر,704
الأهداف الكمية,الرقابة على صادر الذهب,الرقابة على صادر التقليدي,ادارة الصادر,704
الأهداف الكمية,موقف الشركات,موقف شركات الامتياز,إدارة الاستكشاف,705
الأهداف الكمية,موقف الشركات,موقف شركات المخلفات,ادارة الانتاج,705
الأهداف الكمية,موقف الشركات,موقف شركات التعدين الصغير,التعدين الصغير,705
الأهداف الكمية,موقف التعدين التقليدي,موقف التعدين التقليدي,التعدين التقليدي,706
الأهداف الكمية,تحصيل أنصبة الدولة,تحصيل ايرادات الشركات,الشؤون المالية,707
الأهداف الكمية,تحصيل أنصبة الدولة,تحصيل ايرادات التعدين التقليدي,الشؤون المالية,707
الأهداف الكمية,الرقابة على البيئة والسلامة المهنية,الرقابة على البيئة والسلامة المهنية,البيئة والسلامة,708
