ID,Name,State_ID,x,y,Shape *
82,امبرو,9,25.386327,17.089882,Point
66,الردوم,16,24.986578,11.402971,Point
34,الردوم,8,30.806739,11.169783,Point
40,جبيت المعادن,10,36.350883,18.974415,Point
53,الكرمك,13,34.190333,11.53622,Point
70,درديب,10,36.105799,16.328455,Point
60,الفولة,17,28.427278,11.964523,Point
61,الليري,8,30.197597,11.45056,Point
10,وادي حلفا,4,29.502795,21.182555,Point
2,امدرمان,2,32.767415,15.785938,Point
65,سيدون,1,32.957772,19.21712,Point
32,ام قوزين,9,25.295907,15.300528,Point
80,السنط,17,28.64143,12.526076,Point
94,ستيت,6,35.413456,15.661691,Point
90,جنوب كردفان,8,30.026276,12.000215,Point
49,ابوجبيهة,8,31.770421,11.521944,Point
45,جبيت,10,35.432411,19.83816,Point
